,ResponseId,Q12.6,Q12.6_corrected,city
3823,R_PtW6sFn3wsGmJwd,I prefer lower increase in density and also public consultation,I prefer lower increase in density and also public consultation,London
3824,R_1ovW8t8BJ7jQ50u,Bad for the environment ,Bad for the environment ,London
3825,R_1P8nErF1XUwA4g6,The roads around here could not cope with more vehicles ,The roads around here could not cope with more vehicles ,London
3826,R_0rmQzqWap768Uxj,"A significant increase in population has negative implications on schools, hospitals, traffic etc","A significant increase in population has negative implications on schools, hospitals, traffic etc",London
3827,R_2tl2BKEEoidPWLL,Rent control is the main deciding factor. Property in my area is too expensive for current residents and a safety net needs to be in place to ensure they can afford to stay in the borough.,Rent control is the main deciding factor. Property in my area is too expensive for current residents and a safety net needs to be in place to ensure they can afford to stay in the borough.,London
3828,R_sgN5uevx4oDL5ol,"zero emissions, mixed use, 20% increase in density maximum","zero emissions, mixed use, 20% increase in density maximum",London
3829,R_vpZjC4rtRvM0cql,,,London
3830,R_1N9U532N8RpqVSr,,,London
3831,R_1nNGsY6pTm3LqeH,Nothing ,Nothing ,London
3832,R_1Fy8kD52fs3wm2s,Ones I agreed are good for the people affected and the ones I rejected were not very attractive to the people concerned ,Ones I agreed are good for the people affected and the ones I rejected were not very attractive to the people concerned ,London
3833,R_DPmwHHT12xIxI4N,They wouldn't really affect me,They wouldn't really affect me,London
3834,R_r9N0mKGN6c10g6J,More social housing not just islington but Richmond,More social housing not just Islington but Richmond,London
3835,R_1cXRUablIGECbhY,,,London
3836,R_3rIgnirqlbMKT9g,I think we have enough housing in the area,I think we have enough housing in the area,London
3837,R_28UNT45fhBEwCoe,More bins ,More bins ,London
3838,R_117vUGT0H63bCsw,"I looked at a mix of factors: rent controls, nature of developer, social housing, density.","I looked at a mix of factors: rent controls, nature of developer, social housing, density.",London
3839,R_2ZKNFplsuRtfN6q,Prefer National investment not international,Prefer national investment not international,London
3840,R_2ONFi9ZDJZgXVhL,rate caps and investment,rent caps and investment,London
3841,R_2s4S4sILXxcOHZ1,most suited,most suited,London
3842,R_1MKHpDmd1YolxUb,the area need to reduce density and rent,the area need to reduce density and rent,London
3843,R_2bVKFki2Rq0Ha44,Less populated ,Less populated ,London
3844,R_1gHLgU44AG3vOPK,Wanted proposals with rent controls and affordable housing.,Wanted proposals with rent controls and affordable housing.,London
3845,R_2UbB4dpPxEFmRpg,Too many flats killing the greenery ofnthe area,Too many flats killing the greenery of the area,London
3846,R_3CW4biyjZLTGcTo,You would have to examine everything carefully before making decisions,You would have to examine everything carefully before making decisions,London
3847,R_DoEQuk9SQKtfnHj,Iys not favourable to the average person ,Is not favourable to the average person ,London
3848,R_2OYDGYXoeCVhs3Q,I like the idea of a diverse community ,I like the idea of a diverse community ,London
3849,R_1P1yWtQLwND6V5i,Double population is very bad Idea,Double population is very bad Idea,London
3850,R_1n2OYcXVnMs4Ohe,No further comments ,No further comments ,London
3851,R_2b3i7OjIUD8izIs,I prefer British based non-profit investers.  I favour affordable housing. I did not really like the inclusion of cafes etc - as opposed to small craft business or similar as I fear cafes etc. not being these not being sustainable and leading to dark and neglected areas - causing social difficulties   ,I prefer British based non-profit investers.  I favour affordable housing. I did not really like the inclusion of cafes etc - as opposed to small craft business or similar as I fear cafes etc. not being these not being sustainable and leading to dark and neglected areas - causing social difficulties   ,London
3852,R_2Xii5a3vRWC1fkp,I think the area in general has gone downhill in the last 8 years and needs something done to get things back on track ,I think the area in general has gone downhill in the last 8 years and needs something done to get things back on track ,London
3853,R_27pTyzPjh8TkbEl,It's more suitable for renters,It's more suitable for renters,London
3854,R_2tsR35N81e58tq8,I mainly focused on densification and rejected 50% or above,I mainly focused on densification and rejected 50% or above,London
3855,R_1HkRedgmnPqmlwt,I was for rent control,I was for rent control,London
3856,R_32RxBbkg8L942gG,"Rent control is important, climate control is important, residents are important. ","Rent control is important, climate control is important, residents are important. ",London
3857,R_2UaZhhLQ44m6Nmk,Rent protection should be in place ,Rent protection should be in place ,London
3858,R_RJHgxoLX3EMYZS9,As it's too soon to tell and see the future,As it's too soon to tell and see the future,London
3859,R_CeskxvhDsx0bZyV,,,London
3860,R_2y8CrpK9qGuzXpN,,,London
3861,R_3oGuVcQwzbplnhy,Rent control and affordable housing,Rent control and affordable housing,London
3862,R_1LkePSwt5y5o6eL,I know that consultations have no value - and that you will do what you favour anyway . London population density is too high anyway - but hopefully COVID will send a lot of foreigners away for good and you won't need the housing ,I know that consultations have no value - and that you will do what you favour anyway. London population density is too high anyway - but hopefully COVID will send a lot of foreigners away for good and you won't need the housing ,London
3863,R_yNEpCXBAv0uWfe1,"Basically overcrowdind, the mayor of London's cuckoo ideas!","Basically overcrowding, the mayor of London's cuckoo ideas!",London
3864,R_2t9kpFSPimx00zH,Government investment,Government investment,London
3865,R_2Yx4uota3m5yFrZ,I chose the one with the least impact to density ,I chose the one with the least impact to density ,London
3866,R_ulCmtIsiG95uOJ3,"I'm opposed to a large increase in population density, and against increased entertainment and retail premises. I support environmental measures and mixed use incorporating quiet, small micro businesses and socially worthy design elements","I'm opposed to a large increase in population density, and against increased entertainment and retail premises. I support environmental measures and mixed use incorporating quiet, small micro businesses and socially worthy design elements",London
3867,R_2Uap3tPkfhZbWaC,"I am always up for development and progress in a town, the Thames Clipper Extension and extension of Queen Elizabeth Line would also be welcomed ","I am always up for development and progress in a town, the Thames Clipper Extension and extension of Queen Elizabeth Line would also be welcomed ",London
3868,R_3rHxHdWLeOSRHbD,"i think London really needs more housing ,especially low cost housing ","I think London really needs more housing, especially low cost housing ",London
3869,R_3mgUy7JC5Q7hQSL,dont think it will work for us,dont think it will work for us,London
3870,R_SCP4NvqFHF8GkAp,"It was difficult as there were mixes of both that would have been ideal, the overriding factors were keeping the projects in governement/public hands and controlling rents","It was difficult as there were mixes of both that would have been ideal, the overriding factors were keeping the projects in governement/public hands and controlling rents",London
3871,R_3RaPQNGkmXR5wWg,,,London
3872,R_2TNKZl5boKxqJoL,,,London
3873,R_1mKM9PGTXSbURlD,.,,London
3874,R_OHmbjvhKA2dnJol,CAGW IS A SCAM,,London
3875,R_3rHuH9fDIVLO5cV,interesting proposals,interesting proposals,London
3876,R_3dSvGgvaT4WgNii,reasonable increase in affordable housing,reasonable increase in affordable housing,London
3877,R_2CqzkpMqt3Ord1p,,,London
3878,R_5iMAr2W4sKsXiZX,my view,my view,London
3879,R_vJpYhW5Aj792I5H,Inclusivity is always a good thing with rent caps as well as residents' participation,Inclusivity is always a good thing with rent caps as well as residents' participation,London
3880,R_1gNEHuoew16PjLQ,No specific reason they all seemed very similar ,No specific reason they all seemed very similar ,London
3881,R_3HuF84IhLUUof2b,Densification of an already over-populated city will only put strain on services as well as cause further damage to the environment,Densification of an already over-populated city will only put strain on services as well as cause further damage to the environment,London
3882,R_24DiUXRURsAPtnI,I was a little confused but I preferred not to overcrowd the place  and am anxious that environmental issues are prioritised. Also it would be nice if it were possible for less affluent people to find housing too.,I was a little confused but I preferred not to overcrowd the place  and am anxious that environmental issues are prioritised. Also it would be nice if it were possible for less affluent people to find housing too.,London
3883,R_1loy7jUFyHMB21u,Would not want to see a doubling of population; would want a greater proportion of affordable housing; would also prefer a non-profit organisation with public involvement.,Would not want to see a doubling of population; would want a greater proportion of affordable housing; would also prefer a non-profit organisation with public involvement.,London
3884,R_0xgWaP4zUIl4Kat,Affordable housing is crucial,Affordable housing is crucial,London
3885,R_3nq7dDkecPWJLRf,Because it seems very good product to consider.,Because it seems very good product to consider.,London
3886,R_1eztrXxlKINzlwm,,,London
3887,R_1prnUEYXiPicCND,I went for the proposal that had less population density and costs,I went for the proposal that had less population density and costs,London
3888,R_27a2x7kg5pqgxCm,Rent should not increase. High rent will remove low income people from the area.,Rent should not increase. High rent will remove low income people from the area.,London
3889,R_3oLuR0jRJ74VQuS,greater,greater,London
3890,R_1IdbNoejG77RxIY,,,London
3891,R_3LjvzOWqNyXU4vN,I do not rent so not effected ,I do not rent so not effected ,London
3892,R_UnL79gOME59RhZv,N/a,N/a,London
3893,R_2zMwEngcyjnLfpf,,,London
3894,R_AHbuiZt7XhbsPnz,"In general, I preferred those proposal where the population density did not increase as much. In addition, affordable housing options were important to me.","In general, I preferred those proposal where the population density did not increase as much. In addition, affordable housing options were important to me.",London
3895,R_1rBOtxGqCBt0V1r,i dont like rent control ,I dont like rent control ,London
3896,R_2Vx7Nd9ya2AKM7F,I consider the impact on me and my community,I consider the impact on me and my community,London
3897,R_xhzLliUkk5mqfCh,is innovative,is innovative,London
3898,R_2absVkirnkwZQqq,"preference for rent capping/control, more affordable housing but smaller increases in densification because of the effects of new developments on their surrounding neighborhoods.that is cappe","preference for rent capping/control, more affordable housing but smaller increases in densification because of the effects of new developments on their surrounding neighborhoods. that is capped",London
3899,R_27Vknlj3gHrWVCM,Avoiding high density housing ,Avoiding high density housing ,London
3900,R_2uUp4dngKdDWbD0,,,London
3901,R_242fT0aZ9CvodXK,"I live next door to a new ten storey block that is like a carbuncle and adds nothing to the community. Until Westminster planners allow property to be built for normal people not the privileged few, it will always be a Ghetto for the rich","I live next door to a new ten storey block that is like a carbuncle and adds nothing to the community. Until Westminster planners allow property to be built for normal people not the privileged few, it will always be a Ghetto for the rich",London
3902,R_2cbb20XdlzrnVY8,btter options for housing as not good to have just apartments and high buildings and shops are also a must have in neighbourhoods,better options for housing as not good to have just apartments and high buildings and shops are also a must have in neighbourhoods,London
3903,R_2xQs9lxdXEmPbWN,Unsure,Unsure,London
3904,R_1LIMAM85reyoajO,There was too much increase in population which would not be sustainable.,There was too much increase in population which would not be sustainable.,London
3905,R_Og2F33STj4Q3HAB,,,London
3906,R_bw5BcSAUZUfXaRr,"I don't think we need any more housing, it is far too congested","I don't think we need any more housing, it is far too congested",London
3907,R_Ab4fNxqD3vWo5xv,I think it would add value and bring communities closer together ,I think it would add value and bring communities closer together ,London
3908,R_2BA1yGQ7gRCmSjA,i checked for what would be better for me,I checked for what would be better for me,London
3909,R_3Jy02e7Ppis3HMT,LESS INCREASE IN POPULATION DENSITY,LESS INCREASE IN POPULATION DENSITY,London
3910,R_b0X2IM3NiZhTXEt,neither were totally cceptable. - I feel after covid things might change and London density not be as necessary ,neither were totally acceptable. I feel after covid things might change and London density not be as necessary ,London
3911,R_zZsucNk4zLnaM2R,Less densification preferred.,Less densification preferred.,London
3912,R_OkY3vqBvmQ02rvj,,,London
3913,R_1Fli0dyBGyUeWU0,I particularly favoured the carbon neutral options. Also those giving local people a say in the project.,I particularly favoured the carbon neutral options. Also those giving local people a say in the project.,London
3914,R_2e24H98MZJafDJv,I was looking for ones which sounded more ethical,I was looking for ones which sounded more ethical,London
3915,R_2Pi1zXZQArzNvX0,No room for further housing projects in Bexleyheath,No room for further housing projects in Bexleyheath,London
3916,R_1ffIfnFKjtZ9jvI,lebanese food is teh best I think,,London
3917,R_SBu5lR6nrXVgJ3j,profit distributed to help support communities and better living,profit distributed to help support communities and better living,London
3918,R_3m7QoIbABGlVNxe,,,London
3919,R_xA6yXwScfFBvCwx,As the borough is getting heavily populated ,As the borough is getting heavily populated ,London
3920,R_3LhCpfmDKiTgNv7,Cost versus environmental benefits,Cost versus environmental benefits,London
3921,R_Q0wH3i0OjaCpQLD,Lower rent increases appealing,Lower rent increases appealing,London
3922,R_VUNKfzq858TWmC5,Generally rejected those with higher densification targets,Generally rejected those with higher densification targets,London
3923,R_0GtgrTh7kZJEW8F,"Residents should have significant input. Affordable housing should be the majority of the volume of housing, not only 10/20%. what other infrastructure (Leisure. schools, health facilities etc) are to be included. Transport links and car use; eg eectric car charging points etc","Residents should have significant input. Affordable housing should be the majority of the volume of housing, not only 10/20%. what other infrastructure (Leisure. schools, health facilities etc) are to be included. Transport links and car use; eg electric car charging points etc",London
3924,R_2wp0No2rGboMtpS,my area is already overcrowded with the infrastructure at breaking point. There are plenty of places in the country with a very low density and increase in density should be moved there instead of increasing an already overstretched area,my area is already overcrowded with the infrastructure at breaking point. There are plenty of places in the country with a very low density and increase in density should be moved there instead of increasing an already overstretched area,London
3925,R_12yhqlW0tEBBqI1,"Please, just build affordable long-term secure social housing","Please, just build affordable long-term secure social housing",London
3926,R_yqnwbVS4IcPRfpv,"I would like no polution,increase minimum density","I would like no pollution, increase minimum density",London
3927,R_2E6GP2Hf2YbJw1R,"The infrastructure to support mass increase of population is not there.  Schools are struggling with increased demand for places, GPs, dentists and hospitals are all oversubcribed.  Shops and businesses are closing so there are not jobs, road traffic and public transport is heavy. The university is expanding its student housing placing additional burdens on the community.","The infrastructure to support mass increase of population is not there.  Schools are struggling with increased demand for places, GPs, dentists and hospitals are all oversubcribed.  Shops and businesses are closing so there are not jobs, road traffic and public transport is heavy. The university is expanding its student housing placing additional burdens on the community.",London
3928,R_29mjiIIY50qkE2K,,,London
3929,R_PGK8Y1htSaU5tRf,,,London
3930,R_2DTyp0mL8Lyyw8v,"looked at residents involv, climate protection and increase in density and balance of each","looked at residents involved, climate protection and increase in density and balance of each",London
3931,R_1P1uN9fsAg2NBAW,"The climate aspect was the most important deciding factor. But I would also prefer more affordable housing, a not-for-profit investor, and rent control.","The climate aspect was the most important deciding factor. But I would also prefer more affordable housing, a not-for-profit investor, and rent control.",London
3932,R_cAzh4g5RYBakIoh,i think proposal I is reasonable because perivale is not a rich community,I think proposal 1 is reasonable because Perivale is not a rich community,London
3933,R_3DvG1FeAZtOWLIl,prefer the proposals that build houses,prefer the proposals that build houses,London
3934,R_2t9jptRw04fJ0ot,,,London
3935,R_1rrGhOz9RTKW4GA,ok,ok,London
3936,R_2BtIMTkqqd6IY0t,"Need affordable housing, rent control and zero carbon","Need affordable housing, rent control and zero carbon",London
3937,R_2RWE9cgDWTcaewX,,,London
3938,R_2Xjp2LfncHC4mYg,Thats what I felt was right ,Thats what I felt was right ,London
3939,R_10Jaa0VWcocLvBX,Prefer lower density and non profit ,Prefer lower density and non profit ,London
3940,R_3jUS3B7VtcDAhtQ,Some of them going to have less coucil home ,Some of them going to have less coucil homes ,London
3941,R_1OIDn6DOxwzDz4o,I supported all because more housing is needed,I supported all because more housing is needed,London
3942,R_3HYB2o2vshjVxsH,,,London
3943,R_3EbBvztoM5SIZ2k,Are is already over-developed ,Area is already over-developed ,London
3944,R_3G6WHal6NNlveM8,,,London
3945,R_27JCvkaVOUj23cY,None of the proposals fully met my requirements. I am generally against rent controls and against population densification. Most optiond had elements I disliked.,None of the proposals fully met my requirements. I am generally against rent controls and against population densification. Most options had elements I disliked.,London
3946,R_1C0Zjn7TCPeVYVk,I'm not in favour of very dense occupation as Clapham is already quite well filled,I'm not in favour of very dense occupation as Clapham is already quite well filled,London
3947,R_cNIqW2Yr2oC7g09,,,London
3948,R_3lK1wfMgkRh3MdP,"whether it was a mix of resi and business, and degree of density","whether it was a mix of residential and business, and degree of density",London
3949,R_2RNZ2y16fLBN6dv,"ridiculous proposal, there is NO MONEY so tax payer will foot this ridiculous proposal and suffer the consequences. Not needed, not wanted. THIS IS ALL WRONG","ridiculous proposal, there is NO MONEY so tax payer will foot this ridiculous proposal and suffer the consequences. Not needed, not wanted. THIS IS ALL WRONG",London
3950,R_1IRDgvexQ5kCtHe,,,London
3951,R_1pMOqVrR0UndWvs,I don't know ,I don't know ,London
3952,R_3maYdO9AFF7SaTD,It's impossible that at least 20% of housing is affordable and that projects are also carbon nuetral. Rents should be controlled ,It's impossible that at least 20% of housing is affordable and that projects are also carbon neutral. Rents should be controlled ,London
3953,R_2dQ0iQNVcILSkQE,/,,London
3954,R_2doSONI6eqHGxQV,prefer low rent and affordable not for profit landlords,prefer low rent and affordable not-for-profit landlords,London
3955,R_OwAKbnDEGsXbCz7,Less housing in rural green sites use brown sites or redundant industrial sites,Less housing in rural green sites use brown sites or redundant industrial sites,London
3956,R_51kOa1eWVGtNOmd,No particular reason,No particular reason,London
3957,R_4VNOFy8m9dUJuGl,Profit and population ,Profit and population ,London
3958,R_2B3D8lKjfKZbVjR,"No, wed do not want an increase in population without adequate infeastructure ie doctors, schools transport etc","No, we do not want an increase in population without adequate infeastructure ie doctors, schools transport etc",London
3959,R_3PmD30mTERI1LS9,I think we need to care about environment ,I think we need to care about environment ,London
3960,R_1QDXds4xEeNCcEH,I think there should be a rent cap and affordable housing,I think there should be a rent cap and affordable housing,London
3961,R_2a9TRPga0FtY684,They seemed the less detrimental options to the existing neighborhood,They seemed the less detrimental options to the existing neighborhood,London
3962,R_DS2CK8I3IzUugmJ,Look at proposed rent increases ,Look at proposed rent increases ,London
3963,R_1NhraAW6IQyWsjr,"I think rent control in London is sorely needed. I also believe it is already too densely populated. I do not trust the For Profit sector to keep its promises either, as has been shown in other housing projects","I think rent control in London is sorely needed. I also believe it is already too densely populated. I do not trust the for profit sector to keep its promises either, as has been shown in other housing projects",London
3964,R_PBVujIBE86rcEdr,Bring more business to the Area,Bring more business to the area,London
3965,R_8iSVzUtr7kiS9O1,"Generally I was against 100% increase due to impact it has on other services (schools, gp, transport etc). I was in favour of proposals which have some form of rent control and of inclusivity for affordable housing, as I think housing costs in London are too high","Generally I was against 100% increase due to impact it has on other services (schools, gp, transport etc). I was in favour of proposals which have some form of rent control and of inclusivity for affordable housing, as I think housing costs in London are too high",London
3966,R_2awWL8EobuPIFWP,hr,,London
3967,R_31vj6WHCIYLQCnb,,,London
3968,R_1QGhYtRDpOb4VGM,,,London
3969,R_3lLWeCja8qV2fj8,it is important rent to not be increased in this covid times,it is important rent to not be increased in this covid times,London
3970,R_eQXWYvER75YLCAV,People need to start live in less urban areas. U.K. Has a lot of land that people should be allowed to build and live on.,People need to start live in less urban areas. U.K. has a lot of land that people should be allowed to build and live on.,London
3971,R_WiBRJu8GjaEzptv,"Want mixed use development, to create communities.","Want mixed use development, to create communities.",London
3972,R_1q4f4jN5v9gwd24,Seems fair and ethical ,Seems fair and ethical ,London
3973,R_qwLksxY0GxUo3Kx,,,London
3974,R_3p3cI2t7WfCpDAY,"The change in population density was the main driver. London is already congested and while there Iis a need for affordable housing, the infrastructure is already bursting at its seams. ","The change in population density was the main driver. London is already congested and while there is a need for affordable housing, the infrastructure is already bursting at its seams. ",London
3975,R_2VEmehUd1EKM1SE,Prefererd that option,Prefererd that option,London
3976,R_rlrvMd1xbmiONLX,All seemed to balance the more moderate policies with an extreme (eg 100% densification which trumped thinks like rent control as a negative). Also there were too few options with emphasis on green credentials and when these appeared they were unlikely to be credible considering other aspects of the proposal (eg very high densification).,All seemed to balance the more moderate policies with an extreme (eg 100% densification which trumped things like rent control as a negative). Also there were too few options with emphasis on green credentials and when these appeared they were unlikely to be credible considering other aspects of the proposal (eg very high densification).,London
3977,R_31ing9my82jHyH8,I don't pay rent so think there should be a rent control ,I don't pay rent so think there should be a rent control ,London
3978,R_9KVen06qAzs6bBv,No opinion ,No opinion ,London
3979,R_3Ej4Wdl6mlBBnqA,"I do not wecome increased population density (services, transport, policing, healthcare etc are NEVER increased by the same factor so the quality of life is always reduced as a result)nor I do believe in rent controls & the enforcement of social housing which invariably ghettoizes an area","I do not welcome increased population density (services, transport, policing, healthcare etc are NEVER increased by the same factor so the quality of life is always reduced as a result) nor I do believe in rent controls & the enforcement of social housing which invariably ghettoizes an area",London
3980,R_26hxQteQcMAvpZ7,Rent costs are too high ,Rent costs are too high ,London
3981,R_Y0r1pQu7XSk2muB,overpopulation in all cases,overpopulation in all cases,London
3982,R_sNbnNIfBZAAD6NP,Nothing to say really ,Nothing to say really ,London
3983,R_1jZWsjooW5Jy1OR,,,London
3984,R_3oEXLncOUtkBvjR,Any change needs to be fully consulted with the involvement of local people.,Any change needs to be fully consulted with the involvement of local people.,London
3985,R_3oHDfLfg9D1mfvA,No comment.,No comment.,London
3986,R_1n8RoTEpPhO1xPW,It's hard to put into words really. I would generally favour a smaller population increase as opposed to a larger population increase. ,It's hard to put into words really. I would generally favour a smaller population increase as opposed to a larger population increase. ,London
3987,R_1lnjt3qACp4Wphe,Rent caps and climate control were key factors,Rent caps and climate control were key factors,London
3988,R_2TUgROzL3v6i0P8,Liked none - the population is dense enough already,Liked none - the population is dense enough already,London
3989,R_3qw0hlYzTr5Svjl,Expetience,Experience,London
3990,R_1SKD412LXCcj66Z,"Barnet should limit the increase in population as it has become increasingly overcrowded with traffic and driven by a large influx of non-english speaking people from all corners of the globe with not enough thought being put into the facilities such as schools, hospitals, Dr and Dental surgeries as well as transport to support the 100% increase in population","Barnet should limit the increase in population as it has become increasingly overcrowded with traffic and driven by a large influx of non-english speaking people from all corners of the globe with not enough thought being put into the facilities such as schools, hospitals, doctor and dental surgeries as well as transport to support the 100% increase in population",London
3991,R_1rekfHWSZJfVCps,voted for local people to have more say,voted for local people to have more say,London
3992,R_0NDqRhR4h5kBodP,,,London
3993,R_1pxTKs58007x0rZ,,,London
3994,R_1OjzWa1OGJUssAY,I mainly favour the non profit investers and the the rent cap,I mainly favour the non-profit investers and the the rent cap,London
3995,R_2ebrNh2MWeMtubs,I want proposals that are based around increased afforsdavbility and not simply more housing ,I want proposals that are based around increased affordability and not simply more housing ,London
3996,R_27sdyGKqsqOrvFE,Preference for genuinely affordable housing,Preference for genuinely affordable housing,London
3997,R_3nc7b8PZohZcn23,An International investor is a clear proposal for above rent increases way above inflation.,An international investor is a clear proposal for above rent increases way above inflation.,London
3998,R_2U3eZEMkCKBbqXw,,,London
3999,R_12FGWPvOmZJuXWR,There id not appear to be any cases where the increase in population density was less than 50%.,There did not appear to be any cases where the increase in population density was less than 50%.,London
4000,R_Xoi7IHd2vO4SO2t,"I decided mostly on what seems fair, in terms of a rent control or the provider is a nonprofit provider","I decided mostly on what seems fair, in terms of a rent control or the provider is a nonprofit provider",London
4001,R_2XigoDkJbj5uiFk,I believe in rate caping as many people do not have or will not have job security.  Would also like councils to building my affordable housing.,I believe in rate caps as many people do not have or will not have job security.  Would also like councils to build my affordable housing.,London
4002,R_xsCKeRqectcCklr,less people,less people,London
4003,R_UJDPnrEzt0a7tbH,Mixed use and low increase in density.,Mixed use and low increase in density.,London
4004,R_2qDTw6mBx2cjjVX,I am against population density due to demand on all types of services.,I am against population density due to demand on all types of services.,London
4005,R_sBSh67G7aVZ56IF,"I don't suppport any project that would increase population density, any increase should be kept at a minimum","I don't support any project that would increase population density, any increase should be kept at a minimum",London
4006,R_2D80Pmj1ja7Fwmi,there is too much regulation,there is too much regulation,London
4007,R_2c7OZeL5jSCGBrd,,,London
4008,R_1lzoK1JaO2BqeBn,I think there should be social housing included and there should be rent control,I think there should be social housing included and there should be rent control,London
4009,R_1mlWuQkDP41sIW7,I dont believe there should be significant rent increases each year on affordable housing. These rents are not affordable. Social rent caps are whatvis really needed.,I dont believe there should be significant rent increases each year on affordable housing. These rents are not affordable. Social rent caps are what is really needed.,London
4010,R_WrsiTUX50C80j7P,The density increase is already happening on a massive scale. So why would any sane person support further chaos and vandalism to the area?  ,The density increase is already happening on a massive scale. So why would any sane person support further chaos and vandalism to the area?  ,London
4011,R_1BRVSo1Yu5rdsgq,I thought one had better reasons to be picked than the other which didn't please me as much 😁,I thought one had better reasons to be picked than the other which didn't please me as much,London
4012,R_33C37EtxfrcXJgB,I tried to go for the proposals that did not effect the surroundings too much,I tried to go for the proposals that did not effect the surroundings too much,London
4013,R_3Lc03BdsUZ0sAF7,"Increase in crime, drugs, soliciting on the streets, noise pollution, rats, delinquency and gangs are associated with population density and creates racial tensions","Increase in crime, drugs, soliciting on the streets, noise pollution, rats, delinquency and gangs are associated with population density and creates racial tensions",London
4014,R_2ClVwQY1fCl7NrM,,,London
4015,R_2xFeQWwZBZuyzEZ,The affordible and involements aspect I liked,The affordable and involvements aspect I liked,London
4016,R_3HNCd5EXLDIuqaX,Density and local involvement were main factors,Density and local involvement were main factors,London
4017,R_272Ki0bfgTKlJb9,Prefer government/not for profits over private developers to give long term affordable housing,Prefer government/not-for-profits over private developers to give long term affordable housing,London
4018,R_2ANzHX8y9nQDjBy,Wasnt sure,Wasnt sure,London
4019,R_1MQbWHBUTX928HE,Oh mo,,London
4020,R_3LeaqS1FX0fLhsF,,,London
4021,R_Z8oer5VpBZHNtfj,,,London
4022,R_2q9OnuTps0rlpTi,No involvement  by the people who live in the Borough and any increase in housing  not generated  by local aims should be discouraged ,No involvement by the people who live in the Borough and any increase in housing not generated by local aims should be discouraged ,London
4023,R_3PMPoCBbCD9Wd3T,Increasing the population by 50% is not a good idea as there not enough schools/doctors for all these people ,Increasing the population by 50% is not a good idea as there not enough schools/doctors for all these people ,London
4024,R_tJNU3UVypUkQ3Lz,.,.,London
4025,R_33fBJEeY3hGVz0q,Trying to choose the least favourable. ,Trying to choose the least favourable. ,London
4026,R_yNQuO1WYLRRtC1j,,,London
4027,R_2YyRC2OORjZ5Jpm,there are pros & cons in both so I tried to pick the best,there are pros & cons in both so I tried to pick the best,London
4028,R_2AZNQ2lxWpfZkLO,rent caps  % social housing   type of investor,rent caps  percent social housing  type of investor,London
4029,R_3PRCLll4H749P9Y,DENSITY OF POPULATION,DENSITY OF POPULATION,London
4030,R_DbDYt8j0pcHp3Ed,thenkss,thenks,London
4031,R_3PH45dIvfoOlOVY,I'm 8n favour of renovation,I'm in favour of renovation,London
4032,R_3Jel5PXnO059YyZ,It is a better proposal ,It is a better proposal ,London
4033,R_3IY8Zp1hQHaCTWy,I chose mostly in favour of rent control and population increase,I chose mostly in favour of rent control and population increase,London
4034,R_3gYt2QdsOKFbOui,Preferred a non-profit organisation.  Dislike apartments - why not incude houses?,Preferred a non-profit organisation. Dislike apartments - why not incude houses?,London
4035,R_0iErCzGyiDMLWdX,x,,London
4036,R_3oYoid3jb8AcHfQ,I do not want these kind of major developments where I live,I do not want these kind of major developments where I live,London
4037,R_a9m4A73RJupWF0d,Good plan ,Good plan ,London
4038,R_3p2WHTcQZhxo4oN,There is no mention of the infrastructure schools green spaces car parking doctors dentist for the area.  Island gardens has already enough housing ,There is no mention of the infrastructure schools green spaces car parking doctors dentist for the area.  Island gardens has already enough housing ,London
4039,R_1KpOrv0MOPc0gcT,The quality of the same things,The quality of the same things,London
4040,R_1QLVSQ08HhQT3DC,People hsveca vhoice to express themselves,People have a  voice to express themselves,London
4041,R_3QQUnbsmN8N1sSx,Both types of proposal are like asking if you were to be run over would you prefer it was by a lorry or a car.Totally loaded questions!,Both types of proposal are like asking if you were to be run over would you prefer it was by a lorry or a car. Totally loaded questions!,London
4042,R_Zt4HZ1slyTV8T4J,,,London
4043,R_6hDNDAubUrDvdaV,not in favour of density increase,not in favour of density increase,London
4044,R_3rSVln49jkutdWK,Rent control was a big factor for me in deciding on proposals,Rent control was a big factor for me in deciding on proposals,London
4045,R_2EiNg7ak1VtkjGR,sustainability and involvement,sustainability and involvement,London
4046,R_3lPJUpLO1vbdZ26,Type of shops and government investor,Type of shops and government investor,London
4047,R_3lYqsVXh4o0G43A,Tighter caps on rent increase,Tighter caps on rent increase,London
4048,R_3etA6mggOI4Nrkq,disliked high density population increase,disliked high density population increase,London
4049,R_2UVESuWNaEVQAxc,Good service to the community ,Good service to the community ,London
4050,R_1k0x25D6KMRgEtV,I would prefer one type of housing with some input to my neighbourhood.  I don't think affordable housing would benefit the current neighbourhood ,I would prefer one type of housing with some input to my neighbourhood. I don't think affordable housing would benefit the current neighbourhood ,London
4051,R_12PGu0yFZjQ8lQt,I would not accept any proposals by foreign for-profit investors.,I would not accept any proposals by foreign for-profit investors.,London
4052,R_11dyh84FSNIJZCx,mainly down to rent increases,mainly down to rent increases,London
4053,R_t0qWFRLfEGvvaRX,Like that you get a say on building works don't like 100% more people in the area ,Like that you get a say on building works don't like 100% more people in the area ,London
4054,R_T0CM479cCCFHMIh,No comment ,No comment ,London
4055,R_aVnePLi4hniwS4x,xxx,,London
4056,R_3nTxk1FW7kAgPfj,Ok,Ok,London
